      Rhob                Epsilon              Pressure               SoundV
0.2740000000E+00      0.2661378577E+03      0.1594474373E+02      0.1932561502E+00
0.2760000000E+00      0.2681983114E+03      0.1634587097E+02      0.1960389662E+00
0.2780000000E+00      0.2702616946E+03      0.1675331029E+02      0.1988216126E+00
0.2800000000E+00      0.2723280318E+03      0.1716708191E+02      0.2015976047E+00
0.2820000000E+00      0.2743973472E+03      0.1758720505E+02      0.2043780778E+00
0.2840000000E+00      0.2764696647E+03      0.1801369794E+02      0.2071567057E+00
0.2860000000E+00      0.2785450081E+03      0.1844657783E+02      0.2099329534E+00
0.2880000000E+00      0.2806234010E+03      0.1888586101E+02      0.2127062974E+00
0.2900000000E+00      0.2827048667E+03      0.1933156279E+02      0.2154762268E+00
0.2920000000E+00      0.2847894284E+03      0.1978369758E+02      0.2182422431E+00
0.2940000000E+00      0.2868771089E+03      0.2024227885E+02      0.2210038604E+00
0.2960000000E+00      0.2889679310E+03      0.2070731917E+02      0.2237606057E+00
0.2980000000E+00      0.2910619170E+03      0.2117883025E+02      0.2265120190E+00
0.3000000000E+00      0.2931590893E+03      0.2165682291E+02      0.2292576535E+00
0.3020000000E+00      0.2952594698E+03      0.2214130713E+02      0.2319970756E+00
0.3040000000E+00      0.2973630804E+03      0.2263229206E+02      0.2347298651E+00
0.3060000000E+00      0.2994699424E+03      0.2312978605E+02      0.2374556150E+00
0.3080000000E+00      0.3015800774E+03      0.2363379665E+02      0.2401739319E+00
0.3100000000E+00      0.3036935062E+03      0.2414433065E+02      0.2428844356E+00
0.3120000000E+00      0.3058102499E+03      0.2466139408E+02      0.2455867596E+00
0.3140000000E+00      0.3079303290E+03      0.2518499225E+02      0.2482805504E+00
0.3160000000E+00      0.3100537640E+03      0.2571512975E+02      0.2509654680E+00
0.3180000000E+00      0.3121805749E+03      0.2625181049E+02      0.2536411856E+00
0.3200000000E+00      0.3143107817E+03      0.2679503770E+02      0.2563073897E+00
0.3220000000E+00      0.3164444042E+03      0.2734481397E+02      0.2589637795E+00
0.3240000000E+00      0.3185814617E+03      0.2790114124E+02      0.2616100674E+00
0.3260000000E+00      0.3207219736E+03      0.2846402086E+02      0.2642459783E+00
0.3280000000E+00      0.3228659587E+03      0.2903345359E+02      0.2668712500E+00
0.3300000000E+00      0.3250134360E+03      0.2960943960E+02      0.2694856327E+00
0.3320000000E+00      0.3271644239E+03      0.3019197857E+02      0.2720941430E+00
0.3340000000E+00      0.3293189408E+03      0.3078106952E+02      0.2746861153E+00
0.3360000000E+00      0.3314770048E+03      0.3137671107E+02      0.2772665207E+00
0.3380000000E+00      0.3336386338E+03      0.3197890132E+02      0.2798351573E+00
0.3400000000E+00      0.3358038454E+03      0.3258763789E+02      0.2823918345E+00
0.3420000000E+00      0.3379726571E+03      0.3320291794E+02      0.2849363731E+00
0.3440000000E+00      0.3401450859E+03      0.3382473821E+02      0.2874686050E+00
0.3460000000E+00      0.3423211490E+03      0.3445309499E+02      0.2899883726E+00
0.3480000000E+00      0.3445008631E+03      0.3508798420E+02      0.2924955292E+00
0.3500000000E+00      0.3466842447E+03      0.3572940136E+02      0.2949899382E+00
0.3520000000E+00      0.3488713102E+03      0.3637734163E+02      0.2974661908E+00
0.3540000000E+00      0.3510620756E+03      0.3703179980E+02      0.2999346588E+00
0.3560000000E+00      0.3532565570E+03      0.3769277036E+02      0.3023900271E+00
0.3580000000E+00      0.3554547699E+03      0.3836024747E+02      0.3048322014E+00
0.3600000000E+00      0.3576567299E+03      0.3903422497E+02      0.3072610910E+00
0.3620000000E+00      0.3598624523E+03      0.3971469644E+02      0.3096766160E+00
0.3640000000E+00      0.3620719520E+03      0.4040165517E+02      0.3120787048E+00
0.3660000000E+00      0.3642852441E+03      0.4109509422E+02      0.3144672942E+00
0.3680000000E+00      0.3665023431E+03      0.4179500639E+02      0.3168423291E+00
0.3700000000E+00      0.3687232635E+03      0.4250138425E+02      0.3192037619E+00
0.3720000000E+00      0.3709480197E+03      0.4321422016E+02      0.3215515526E+00
0.3740000000E+00      0.3731766256E+03      0.4393350630E+02      0.3238856686E+00
0.3760000000E+00      0.3754090952E+03      0.4465923463E+02      0.3262060840E+00
0.3780000000E+00      0.3776454422E+03      0.4539139697E+02      0.3285127799E+00
0.3800000000E+00      0.3798856800E+03      0.4612998495E+02      0.3308057437E+00
0.3820000000E+00      0.3821298220E+03      0.4687499006E+02      0.3330849691E+00
0.3840000000E+00      0.3843778814E+03      0.4762640367E+02      0.3353504560E+00
0.3860000000E+00      0.3866298710E+03      0.4838421699E+02      0.3376022097E+00
0.3880000000E+00      0.3888858036E+03      0.4914842113E+02      0.3398402415E+00
0.3900000000E+00      0.3911456919E+03      0.4991900710E+02      0.3420645677E+00
0.3920000000E+00      0.3934095482E+03      0.5069596581E+02      0.3442752097E+00
0.3940000000E+00      0.3956773849E+03      0.5147928809E+02      0.3464721940E+00
0.3960000000E+00      0.3979492139E+03      0.5226896467E+02      0.3486555515E+00
0.3980000000E+00      0.4002250472E+03      0.5306498624E+02      0.3508253178E+00
0.4000000000E+00      0.4025048965E+03      0.5386734341E+02      0.3529815325E+00
0.4020000000E+00      0.4047887734E+03      0.5467602677E+02      0.3551242395E+00
0.4040000000E+00      0.4070766893E+03      0.5549102683E+02      0.3572534862E+00
0.4060000000E+00      0.4093686555E+03      0.5631233409E+02      0.3593693241E+00
0.4080000000E+00      0.4116646831E+03      0.5713993902E+02      0.3614718078E+00
0.4100000000E+00      0.4139647829E+03      0.5797383207E+02      0.3635609953E+00
0.4120000000E+00      0.4162689658E+03      0.5881400368E+02      0.3656369479E+00
0.4140000000E+00      0.4185772424E+03      0.5966044427E+02      0.3676997296E+00
0.4160000000E+00      0.4208896233E+03      0.6051314427E+02      0.3697494072E+00
0.4180000000E+00      0.4232061186E+03      0.6137209413E+02      0.3717860502E+00
0.4200000000E+00      0.4255267387E+03      0.6223728429E+02      0.3738097307E+00
0.4220000000E+00      0.4278514936E+03      0.6310870521E+02      0.3758205227E+00
0.4240000000E+00      0.4301803932E+03      0.6398634740E+02      0.3778185027E+00
0.4260000000E+00      0.4325134472E+03      0.6487020136E+02      0.3798037491E+00
0.4280000000E+00      0.4348506654E+03      0.6576025766E+02      0.3817763422E+00
0.4300000000E+00      0.4371920571E+03      0.6665650687E+02      0.3837363639E+00
0.4320000000E+00      0.4395376319E+03      0.6755893963E+02      0.3856838981E+00
0.4340000000E+00      0.4418873988E+03      0.6846754661E+02      0.3876190296E+00
0.4360000000E+00      0.4442413671E+03      0.6938231854E+02      0.3895418452E+00
0.4380000000E+00      0.4465995457E+03      0.7030324620E+02      0.3914524348E+00
0.4400000000E+00      0.4489619435E+03      0.7123032043E+02      0.3933508827E+00
0.4420000000E+00      0.4513285692E+03      0.7216353211E+02      0.3952372812E+00
0.4440000000E+00      0.4536994314E+03      0.7310287222E+02      0.3971117212E+00
0.4460000000E+00      0.4560745387E+03      0.7404833177E+02      0.3989742943E+00
0.4480000000E+00      0.4584538994E+03      0.7499990186E+02      0.4008250930E+00
0.4500000000E+00      0.4608375218E+03      0.7595757365E+02      0.4026642104E+00
0.4520000000E+00      0.4632254141E+03      0.7692133837E+02      0.4044917401E+00
0.4540000000E+00      0.4656175842E+03      0.7789118735E+02      0.4063077764E+00
0.4560000000E+00      0.4680140402E+03      0.7886711197E+02      0.4081124137E+00
0.4580000000E+00      0.4704147899E+03      0.7984910371E+02      0.4099057469E+00
0.4600000000E+00      0.4728198410E+03      0.8083715411E+02      0.4116878712E+00
0.4620000000E+00      0.4752292011E+03      0.8183125481E+02      0.4134588818E+00
0.4640000000E+00      0.4776428777E+03      0.8283139753E+02      0.4152188741E+00
0.4660000000E+00      0.4800608783E+03      0.8383757407E+02      0.4169679436E+00
0.4680000000E+00      0.4824832102E+03      0.8484977632E+02      0.4187061858E+00
0.4700000000E+00      0.4849098806E+03      0.8586799627E+02      0.4204336961E+00
0.4720000000E+00      0.4873408967E+03      0.8689222598E+02      0.4221505696E+00
0.4740000000E+00      0.4897762654E+03      0.8792245760E+02      0.4238569016E+00
0.4760000000E+00      0.4922159937E+03      0.8895868339E+02      0.4255527869E+00
0.4780000000E+00      0.4946600884E+03      0.9000089568E+02      0.4272383200E+00
0.4800000000E+00      0.4971085564E+03      0.9104908690E+02      0.4289135953E+00
0.4820000000E+00      0.4995614043E+03      0.9210324958E+02      0.4305787066E+00
0.4840000000E+00      0.5020186387E+03      0.9316337633E+02      0.4322337476E+00
0.4860000000E+00      0.5044802661E+03      0.9422945986E+02      0.4338788113E+00
0.4880000000E+00      0.5069462929E+03      0.9530149297E+02      0.4355139904E+00
0.4900000000E+00      0.5094167255E+03      0.9637946856E+02      0.4371393770E+00
0.4920000000E+00      0.5118915701E+03      0.9746337959E+02      0.4387550627E+00
0.4940000000E+00      0.5143708328E+03      0.9855321917E+02      0.4403611385E+00
0.4960000000E+00      0.5168545199E+03      0.9964898046E+02      0.4419576950E+00
0.4980000000E+00      0.5193426372E+03      0.1007506567E+03      0.4435448219E+00
0.5000000000E+00      0.5218351909E+03      0.1018582413E+03      0.4451226085E+00
0.5020000000E+00      0.5243321866E+03      0.1029717277E+03      0.4466911433E+00
0.5040000000E+00      0.5268336304E+03      0.1040911094E+03      0.4482505143E+00
0.5060000000E+00      0.5293395278E+03      0.1052163801E+03      0.4498008085E+00
0.5080000000E+00      0.5318498845E+03      0.1063475334E+03      0.4513421125E+00
0.5100000000E+00      0.5343647061E+03      0.1074845633E+03      0.4528745120E+00
0.5120000000E+00      0.5368839982E+03      0.1086274635E+03      0.4543980919E+00
0.5140000000E+00      0.5394077662E+03      0.1097762282E+03      0.4559129366E+00
0.5160000000E+00      0.5419360155E+03      0.1109308513E+03      0.4574191295E+00
